asset,Date,Open,High,Low,Close
NOK,2012-06-29,NA,407.5,393.86,407.09
NOK,2012-06-28,NA,394.71,389.85,393.86
NOK,2012-06-27,NA,392.5,382.77,392.5
NOK,2012-06-26,NA,385.26,380.67,382.77
NOK,2012-06-25,NA,386.39,380.68,381.91
NOK,2012-06-22,NA,392.6,385.54,385.54
NOK,2012-06-21,NA,399.55,392.6,392.6
NOK,2012-06-20,NA,399.74,395.16,399.55
NOK,2012-06-19,NA,396.34,390.21,396.02
NOK,2012-06-18,NA,397.5,389.04,390.26
NOK,2012-06-15,NA,391.76,381.98,391.71
NOK,2012-06-14,NA,382.84,378.99,382.09
NOK,2012-06-13,NA,388.56,380.79,381.25
NOK,2012-06-12,NA,387.33,382.33,387.33
NOK,2012-06-11,NA,395.54,385.54,385.54
NOK,2012-06-08,NA,389.48,382.83,387.43
NOK,2012-06-07,NA,392.17,385.01,389.48
NOK,2012-06-06,NA,385.98,375.45,385.98
NOK,2012-06-05,NA,377.54,371.68,375.45
NOK,2012-06-04,NA,377.66,369.24,371.8
NOK,2012-06-01,NA,386.97,374.46,377.66
NOK,2012-05-31,NA,392.71,382.22,384.36
NOK,2012-05-30,NA,395.27,387.85,388.6
NOK,2012-05-29,NA,396.52,391.49,395.27
NOK,2012-05-25,NA,394.74,389.79,392.17
NOK,2012-05-24,NA,393.09,387.83,391.81
NOK,2012-05-23,NA,402.12,388.49,388.75
NOK,2012-05-22,NA,402.12,394.94,402.12
NOK,2012-05-21,NA,395.41,387.06,394.94
NOK,2012-05-18,NA,400.93,388.59,388.59
NOK,2012-05-16,NA,403.7,396.48,400.91
NOK,2012-05-15,NA,405.12,400.71,402.84
NOK,2012-05-14,NA,408.94,399.12,400.9
NOK,2012-05-11,NA,409.24,403,408.92
NOK,2012-05-10,NA,409.06,400.37,408.61
NOK,2012-05-09,NA,406.41,397.81,402.2
NOK,2012-05-08,NA,416.84,401.58,401.72
NOK,2012-05-07,NA,413.66,406.51,413.65
NOK,2012-05-04,NA,422.23,412.48,412.55
NOK,2012-05-03,NA,424.14,419.53,422.06
NOK,2012-05-02,NA,425.97,418.32,419.53
NOK,2012-04-30,NA,422.77,419.34,421.21
NOK,2012-04-27,NA,422.47,416.92,419.69
NOK,2012-04-26,NA,424.02,419.26,422.44
NOK,2012-04-25,NA,421.77,415.65,420.55
NOK,2012-04-24,NA,416.03,409.25,416.03
NOK,2012-04-23,NA,421.26,407.7,409.25
NOK,2012-04-20,NA,421.94,418.71,421.26
NOK,2012-04-19,NA,424.41,419.88,420.5
NOK,2012-04-18,NA,424.76,419.42,421.55
NOK,2012-04-17,NA,422.89,411.44,422.88
NOK,2012-04-16,NA,416.4,410.51,413.38
NOK,2012-04-13,NA,418.22,412.58,413.72
NOK,2012-04-12,NA,417.85,410.27,417.84
NOK,2012-04-11,NA,412.98,407.24,411.32
NOK,2012-04-10,NA,421.93,408.73,408.73
